岗位id,岗位名称,岗位类别,公司名称,公司规模,公司类型,所属城市,要求学历,要求经历,最低薪资,最高薪资,平均薪资,要求技能,岗位描述,岗位要求,发布日期,浏览量,申请数,industry
JOB396309,深度学习工程师,技术,平安科技,500-999人,物流,广州,大专,不限,6539,10626,8582,"分布式系统,NumPy,Scikit-learn,JavaScript,Redis,Java","参与技术方案评审，解决技术难题
参与需求分析、系统设计、编码实现和测试
持续优化系统性能和用户体验","大专及以上学历，计算机相关专业优先
有大型项目经验者优先
具备良好的编程基础和算法能力
不限以上相关工作经验",2026/3/2,4670,111,business
JOB531306,前端开发工程师,技术,顺丰,100-499人,能源,上海,博士,5-10年,44488,72293,58390,"Hadoop,NumPy,高并发","负责前端开发工程师相关的系统设计和开发工作
持续优化系统性能和用户体验
参与技术方案评审，解决技术难题","博士及以上学历，计算机相关专业优先
5-10年以上相关工作经验
具备良好的沟通能力和团队协作精神
有大型项目经验者优先",2026/2/12,287,36,business
JOB212624,销售经理,市场,网易,20-99人,互联网,南京,大专,5-10年,11566,18795,15180,"营销策划,公关,BD,市场调研","分析市场动态和竞争对手
负责销售经理相关的市场推广工作
组织市场活动和品牌宣传","有相关行业资源者优先
5-10年以上市场推广经验
大专及以上学历
熟悉各类营销渠道和推广方式",2026/2/12,4144,42,business
JOB473730,UI设计师,产品,中通,100-499人,教育,上海,大专,不限,7792,12663,10227,"用户研究,PRD文档,原型设计,Axure","跟踪产品上线后的数据表现
负责UI设计师的产品规划和设计
协调开发、设计、测试等团队资源","大专及以上学历
不限以上产品经理经验
熟练使用Axure、Figma等设计工具
具备良好的产品思维和用户洞察力",2026/3/2,4912,153,business
JOB887931,运营经理,运营,依图科技,10000人以上,互联网,郑州,硕士,3-5年,12127,19707,15917,"数据分析,用户增长,活动策划,新媒体,SEO","分析运营数据，优化运营效果
策划和执行线上线下活动
负责运营经理相关的运营工作","硕士及以上学历
具备良好的文案写作能力
有成功运营案例者优先
3-5年以上运营经验",2026/2/27,156,98,business
JOB303235,UI设计,设计,格力,0-20人,能源,上海,大专,3-5年,14807,24061,19434,"3D Max,C4D,After Effects","与产品、开发团队协作
制作设计稿和交互原型
持续优化设计质量和用户体验","具备良好的沟通理解能力
有优秀作品集者优先
熟练使用设计软件和工具
3-5年以上设计经验",2026/2/18,2173,189,business
JOB596250,数据运营,运营,华为,0-20人,其他,青岛,博士,不限,8940,14527,11733,"内容策划,数据分析,SEO,活动策划,社群运营,新媒体","制定运营策略和执行计划
策划和执行线上线下活动
维护用户关系，提升用户活跃度","具备良好的文案写作能力
有成功运营案例者优先
具备数据分析能力和运营思维
不限以上运营经验",2026/3/4,3484,134,business
JOB667770,产品总监,产品,爱奇艺,10000人以上,互联网,苏州,硕士,10年以上,30058,48845,39451,"原型设计,Axure,需求分析","负责产品总监的产品规划和设计
跟踪产品上线后的数据表现
编写产品需求文档（PRD）","具备优秀的沟通协调能力
熟练使用Axure、Figma等设计工具
有相关行业产品经验者优先
10年以上以上产品经理经验",2026/3/4,551,34,business
JOB674162,产品经理,产品,依图科技,20-99人,能源,武汉,本科,10年以上,15369,24976,20172,"用户研究,需求分析,Axure,Figma,PRD文档","跟踪产品上线后的数据表现
编写产品需求文档（PRD）
进行用户调研和需求分析","10年以上以上产品经理经验
具备优秀的沟通协调能力
本科及以上学历
具备良好的产品思维和用户洞察力",2026/2/21,2188,170,business
JOB824424,内容运营,运营,云从科技,500-999人,物流,南京,博士,3-5年,19735,32069,25902,"数据分析,用户增长,新媒体,活动策划,社群运营,内容策划","制定运营策略和执行计划
分析运营数据，优化运营效果
维护用户关系，提升用户活跃度","有成功运营案例者优先
3-5年以上运营经验
熟悉新媒体运营和内容策划
具备良好的文案写作能力",2026/3/6,3658,174,business
JOB136660,深度学习工程师,技术,携程,100-499人,能源,重庆,博士,3-5年,19064,30979,25021,"Linux,分布式系统,MySQL,Python,Docker","负责深度学习工程师相关的系统设计和开发工作
持续优化系统性能和用户体验
参与技术方案评审，解决技术难题","有大型项目经验者优先
具备良好的沟通能力和团队协作精神
博士及以上学历，计算机相关专业优先
熟悉相关技术栈和开发工具",2026/2/19,1853,7,business
JOB495804,媒介专员,市场,新浪,20-99人,制造业,成都,不限,5-10年,12256,19916,16086,"媒介投放,营销策划,渠道拓展,BD,公关,品牌推广","分析市场动态和竞争对手
制定市场推广策略和计划
负责媒介专员相关的市场推广工作","不限及以上学历
熟悉各类营销渠道和推广方式
5-10年以上市场推广经验
具备良好的商务谈判能力",2026/3/6,2066,134,business
JOB791548,用户运营,运营,依图科技,0-20人,医疗,武汉,大专,10年以上,15496,25181,20338,"SEM,内容策划,活动策划,新媒体,SEO","制定运营策略和执行计划
策划和执行线上线下活动
分析运营数据，优化运营效果","具备良好的文案写作能力
有成功运营案例者优先
熟悉新媒体运营和内容策划
10年以上以上运营经验",2026/2/8,2515,69,business
JOB289048,行政专员,职能,美团,10000人以上,房地产,长沙,博士,5-10年,14014,22773,18393,"招聘,组织管理,薪酬管理,培训","完成上级交办的其他任务
整理和归档相关文件资料
协调各部门之间的沟通","博士及以上学历
5-10年以上相关工作经验
熟练使用办公软件
具备良好的沟通协调能力",2026/2/8,3386,19,business
JOB587961,财务专员,职能,阿里巴巴,0-20人,能源,南京,博士,不限,7488,12169,9828,"沟通协调,PPT,薪酬管理","整理和归档相关文件资料
协助部门完成日常管理工作
负责财务专员相关工作","熟练使用办公软件
不限以上相关工作经验
具备良好的沟通协调能力
有相关行业经验者优先",2026/2/9,808,90,business
JOB425698,运营经理,运营,大疆创新,20-99人,医疗,长沙,大专,应届生,3000,5000,4000,"活动策划,内容策划,用户增长,SEM,社群运营,数据分析","维护用户关系，提升用户活跃度
制定运营策略和执行计划
负责运营经理相关的运营工作","熟悉新媒体运营和内容策划
具备数据分析能力和运营思维
有成功运营案例者优先
应届生以上运营经验",2026/2/11,2867,43,business
JOB826621,财务专员,职能,华为,10000人以上,物流,青岛,本科,不限,3799,6174,4986,"PPT,绩效考核,薪酬管理","协调各部门之间的沟通
协助部门完成日常管理工作
负责财务专员相关工作","本科及以上学历
具备良好的沟通协调能力
不限以上相关工作经验
熟练使用办公软件",2026/2/10,4596,139,business
JOB401244,数据分析师,技术,大疆创新,20-99人,物流,天津,硕士,应届生,6769,11000,8884,"Docker,Spring Boot,大数据,TensorFlow,MySQL","参与需求分析、系统设计、编码实现和测试
持续优化系统性能和用户体验
参与技术方案评审，解决技术难题","有大型项目经验者优先
应届生以上相关工作经验
具备良好的沟通能力和团队协作精神
具备良好的编程基础和算法能力",2026/2/27,2274,57,business
JOB928394,媒介专员,市场,哔哩哔哩,10000人以上,物流,广州,硕士,不限,8883,14435,11659,"BD,营销策划,市场调研,公关,品牌推广,媒介投放","负责媒介专员相关的市场推广工作
分析市场动态和竞争对手
制定市场推广策略和计划","具备良好的商务谈判能力
不限以上市场推广经验
有相关行业资源者优先
硕士及以上学历",2026/2/28,4131,164,business
JOB819644,财务专员,职能,海康威视,100-499人,物流,长沙,大专,应届生,3000,5000,4000,"招聘,沟通协调,PPT,薪酬管理,组织管理","完成上级交办的其他任务
协助部门完成日常管理工作
负责财务专员相关工作","熟练使用办公软件
大专及以上学历
有相关行业经验者优先
应届生以上相关工作经验",2026/2/18,2717,23,business
JOB441071,法务专员,职能,中通,20-99人,其他,杭州,大专,5-10年,13627,22145,17886,"薪酬管理,招聘,绩效考核,Excel,沟通协调","整理和归档相关文件资料
协助部门完成日常管理工作
负责法务专员相关工作","具备良好的沟通协调能力
有相关行业经验者优先
工作认真负责，细致耐心
熟练使用办公软件",2026/2/7,371,153,business
JOB171223,市场专员,市场,京东,1000-9999人,金融,广州,大专,1-3年,6724,10927,8825,"公关,市场调研,渠道拓展,品牌推广,BD","拓展市场渠道和合作伙伴
分析市场动态和竞争对手
负责市场专员相关的市场推广工作","1-3年以上市场推广经验
有相关行业资源者优先
熟悉各类营销渠道和推广方式
具备市场策划和执行能力",2026/2/26,940,92,business
JOB660380,交互设计,设计,华为,1000-9999人,制造业,郑州,本科,应届生,3555,5776,4665,"After Effects,Figma,Sketch,Illustrator,Photoshop","根据需求进行创意设计和视觉表现
持续优化设计质量和用户体验
制作设计稿和交互原型","应届生以上设计经验
有优秀作品集者优先
本科及以上学历，设计相关专业优先
具备良好的沟通理解能力",2026/2/20,725,34,business
JOB713593,市场经理,市场,搜狐,10000人以上,其他,南京,本科,应届生,5252,8536,6894,"营销策划,渠道拓展,品牌推广,BD","分析市场动态和竞争对手
负责市场经理相关的市场推广工作
拓展市场渠道和合作伙伴","有相关行业资源者优先
应届生以上市场推广经验
具备良好的商务谈判能力
具备市场策划和执行能力",2026/3/5,3850,75,business
JOB843183,平面设计,设计,搜狐,20-99人,能源,武汉,不限,5-10年,10929,17759,14344,"After Effects,Adobe XD,3D Max,C4D","持续优化设计质量和用户体验
负责平面设计相关的设计工作
制作设计稿和交互原型","熟练使用设计软件和工具
5-10年以上设计经验
具备良好的沟通理解能力
有优秀作品集者优先",2026/3/1,4675,195,business
JOB802888,用户运营,运营,顺丰,500-999人,物流,郑州,硕士,5-10年,11355,18451,14903,"新媒体,活动策划,内容策划,用户增长,社群运营","分析运营数据，优化运营效果
负责用户运营相关的运营工作
策划和执行线上线下活动","硕士及以上学历
具备数据分析能力和运营思维
5-10年以上运营经验
有成功运营案例者优先",2026/2/15,315,80,business
JOB241041,BD经理,市场,美的,0-20人,制造业,深圳,大专,3-5年,9597,15596,12596,"BD,品牌推广,公关","分析市场动态和竞争对手
拓展市场渠道和合作伙伴
组织市场活动和品牌宣传","熟悉各类营销渠道和推广方式
具备良好的商务谈判能力
具备市场策划和执行能力
大专及以上学历",2026/2/25,2019,65,business
JOB703727,媒介专员,市场,小米,500-999人,互联网,武汉,博士,3-5年,17802,28928,23365,"市场调研,BD,媒介投放,公关,品牌推广","组织市场活动和品牌宣传
负责媒介专员相关的市场推广工作
分析市场动态和竞争对手","熟悉各类营销渠道和推广方式
具备良好的商务谈判能力
有相关行业资源者优先
具备市场策划和执行能力",2026/3/4,3342,84,business
JOB497302,公关经理,市场,小米,100-499人,教育,长沙,硕士,5-10年,18871,30665,24768,"品牌推广,营销策划,渠道拓展,BD,公关","负责公关经理相关的市场推广工作
制定市场推广策略和计划
组织市场活动和品牌宣传","具备市场策划和执行能力
5-10年以上市场推广经验
熟悉各类营销渠道和推广方式
有相关行业资源者优先",2026/2/26,4106,192,business
JOB981639,销售经理,市场,海尔,1000-9999人,医疗,西安,博士,10年以上,24450,39731,32090,"公关,品牌推广,媒介投放,渠道拓展,营销策划,BD","负责销售经理相关的市场推广工作
组织市场活动和品牌宣传
分析市场动态和竞争对手","10年以上以上市场推广经验
有相关行业资源者优先
具备良好的商务谈判能力
博士及以上学历",2026/3/5,3568,25,business
JOB340341,UX设计师,产品,网易,0-20人,金融,广州,不限,3-5年,14750,23970,19360,"PRD文档,Figma,产品设计","跟踪产品上线后的数据表现
负责UX设计师的产品规划和设计
进行用户调研和需求分析","具备良好的产品思维和用户洞察力
具备优秀的沟通协调能力
有相关行业产品经验者优先
3-5年以上产品经理经验",2026/2/6,4806,75,business
JOB724132,新媒体运营,运营,格力,500-999人,教育,南京,本科,10年以上,18065,29357,23711,"内容策划,活动策划,SEM,社群运营,SEO,数据分析","负责新媒体运营相关的运营工作
策划和执行线上线下活动
制定运营策略和执行计划","10年以上以上运营经验
具备良好的文案写作能力
具备数据分析能力和运营思维
本科及以上学历",2026/2/12,1711,37,business
JOB813402,媒介专员,市场,海尔,20-99人,零售,成都,大专,不限,3931,6387,5159,"公关,品牌推广,渠道拓展,媒介投放","分析市场动态和竞争对手
负责媒介专员相关的市场推广工作
制定市场推广策略和计划","熟悉各类营销渠道和推广方式
具备良好的商务谈判能力
有相关行业资源者优先
具备市场策划和执行能力",2026/3/5,4035,164,business
